Num,Scenario,WellConfig,filename
359,83,OPT_0003_04,v2.4_0359.h5
360,76,OPT_0003_05,v2.4_0360.h5
361,80,OPT_0003_04,v2.4_0361.h5
362,78,OPT_0003_04,v2.4_0362.h5
363,85,OPT_0003_04,v2.4_0363.h5
364,79,OPT_0003_04,v2.4_0364.h5
365,82,OPT_0003_05,v2.4_0365.h5
366,74,OPT_0003_05,v2.4_0366.h5
367,73,OPT_0003_05,v2.4_0367.h5
368,83,OPT_0003_05,v2.4_0368.h5
369,79,OPT_0003_05,v2.4_0369.h5
370,80,OPT_0003_05,v2.4_0370.h5
371,81,OPT_0003_05,v2.4_0371.h5
372,75,OPT_0003_06,v2.4_0372.h5
373,77,OPT_0003_05,v2.4_0373.h5
374,78,OPT_0003_05,v2.4_0374.h5
375,80,OPT_0003_06,v2.4_0375.h5
376,76,OPT_0003_06,v2.4_0376.h5
377,73,OPT_0003_06,v2.4_0377.h5
378,72,OPT_0003_06,v2.4_0378.h5
379,84,OPT_0003_05,v2.4_0379.h5
380,85,OPT_0003_05,v2.4_0380.h5
381,74,OPT_0003_06,v2.4_0381.h5
382,71,OPT_0003_07,v2.4_0382.h5
383,71,OPT_0003_06,v2.4_0383.h5
384,78,OPT_0003_06,v2.4_0384.h5
385,79,OPT_0003_06,v2.4_0385.h5
386,77,OPT_0003_06,v2.4_0386.h5
387,82,OPT_0003_06,v2.4_0387.h5
388,85,OPT_0003_06,v2.4_0388.h5
389,83,OPT_0003_06,v2.4_0389.h5
390,84,OPT_0003_06,v2.4_0390.h5
391,81,OPT_0003_06,v2.4_0391.h5
392,72,OPT_0003_07,v2.4_0392.h5
393,75,OPT_0003_07,v2.4_0393.h5
394,78,OPT_0003_07,v2.4_0394.h5
395,82,OPT_0003_07,v2.4_0395.h5
396,79,OPT_0003_07,v2.4_0396.h5
397,73,OPT_0003_07,v2.4_0397.h5
398,76,OPT_0003_07,v2.4_0398.h5
399,81,OPT_0003_07,v2.4_0399.h5
400,77,OPT_0003_07,v2.4_0400.h5
401,80,OPT_0003_07,v2.4_0401.h5
402,74,OPT_0003_07,v2.4_0402.h5
403,83,OPT_0003_08,v2.4_0403.h5
404,73,OPT_0003_09,v2.4_0404.h5
405,82,OPT_0003_09,v2.4_0405.h5
406,75,OPT_0003_09,v2.4_0406.h5
407,85,OPT_0003_07,v2.4_0407.h5
408,74,OPT_0003_08,v2.4_0408.h5
409,75,OPT_0003_08,v2.4_0409.h5
410,82,OPT_0003_08,v2.4_0410.h5
411,81,OPT_0003_08,v2.4_0411.h5
412,84,OPT_0003_08,v2.4_0412.h5
413,83,OPT_0003_09,v2.4_0413.h5
414,83,OPT_0003_07,v2.4_0414.h5
415,76,OPT_0003_09,v2.4_0415.h5
416,78,OPT_0003_08,v2.4_0416.h5
417,84,OPT_0003_07,v2.4_0417.h5
418,77,OPT_0003_08,v2.4_0418.h5
419,74,OPT_0003_09,v2.4_0419.h5
420,72,OPT_0003_08,v2.4_0420.h5
421,76,OPT_0003_08,v2.4_0421.h5
422,71,OPT_0003_08,v2.4_0422.h5
423,73,OPT_0003_08,v2.4_0423.h5
424,81,OPT_0003_09,v2.4_0424.h5
425,80,OPT_0003_09,v2.4_0425.h5
426,79,OPT_0003_08,v2.4_0426.h5
427,84,OPT_0003_09,v2.4_0427.h5
428,85,OPT_0003_09,v2.4_0428.h5
429,71,OPT_0003_09,v2.4_0429.h5
430,85,OPT_0003_08,v2.4_0430.h5
431,80,OPT_0003_08,v2.4_0431.h5
432,71,OPT_0003_10,v2.4_0432.h5
433,73,OPT_0003_10,v2.4_0433.h5
434,79,OPT_0003_09,v2.4_0434.h5
435,77,OPT_0003_09,v2.4_0435.h5
436,72,OPT_0003_09,v2.4_0436.h5
437,72,OPT_0003_10,v2.4_0437.h5
438,82,OPT_0003_10,v2.4_0438.h5
439,78,OPT_0003_09,v2.4_0439.h5
440,75,OPT_0003_10,v2.4_0440.h5
441,81,OPT_0003_10,v2.4_0441.h5
442,76,OPT_0003_10,v2.4_0442.h5
443,77,OPT_0003_10,v2.4_0443.h5
444,84,OPT_0003_10,v2.4_0444.h5
445,74,OPT_0003_10,v2.4_0445.h5
446,78,OPT_0003_10,v2.4_0446.h5
447,83,OPT_0003_10,v2.4_0447.h5
448,79,OPT_0003_10,v2.4_0448.h5
449,85,OPT_0003_10,v2.4_0449.h5
450,80,OPT_0003_10,v2.4_0450.h5
451,80,OPT_0004_02,v2.4_0451.h5
452,71,OPT_0004_01,v2.4_0452.h5
453,75,OPT_0004_01,v2.4_0453.h5
454,72,OPT_0004_01,v2.4_0454.h5
455,73,OPT_0004_01,v2.4_0455.h5
456,74,OPT_0004_01,v2.4_0456.h5
457,76,OPT_0004_01,v2.4_0457.h5
458,78,OPT_0004_01,v2.4_0458.h5
459,77,OPT_0004_01,v2.4_0459.h5
460,82,OPT_0004_01,v2.4_0460.h5
461,84,OPT_0004_01,v2.4_0461.h5
462,71,OPT_0004_02,v2.4_0462.h5
463,81,OPT_0004_01,v2.4_0463.h5
464,83,OPT_0004_01,v2.4_0464.h5
465,80,OPT_0004_01,v2.4_0465.h5
466,72,OPT_0004_02,v2.4_0466.h5
467,79,OPT_0004_01,v2.4_0467.h5
469,73,OPT_0004_02,v2.4_0469.h5
470,85,OPT_0004_01,v2.4_0470.h5
471,77,OPT_0004_02,v2.4_0471.h5
472,74,OPT_0004_02,v2.4_0472.h5
473,81,OPT_0004_03,v2.4_0473.h5
474,79,OPT_0004_02,v2.4_0474.h5
475,82,OPT_0004_03,v2.4_0475.h5
476,75,OPT_0004_02,v2.4_0476.h5
477,76,OPT_0004_02,v2.4_0477.h5
478,83,OPT_0004_03,v2.4_0478.h5
479,82,OPT_0004_02,v2.4_0479.h5
480,81,OPT_0004_02,v2.4_0480.h5
481,84,OPT_0004_02,v2.4_0481.h5
482,83,OPT_0004_02,v2.4_0482.h5
483,71,OPT_0004_03,v2.4_0483.h5
484,75,OPT_0004_03,v2.4_0484.h5
485,72,OPT_0004_03,v2.4_0485.h5
486,73,OPT_0004_03,v2.4_0486.h5
487,85,OPT_0004_02,v2.4_0487.h5
488,80,OPT_0004_03,v2.4_0488.h5
489,76,OPT_0004_03,v2.4_0489.h5
490,77,OPT_0004_03,v2.4_0490.h5
491,74,OPT_0004_03,v2.4_0491.h5
492,78,OPT_0004_03,v2.4_0492.h5
493,73,OPT_0004_04,v2.4_0493.h5
494,76,OPT_0004_04,v2.4_0494.h5
495,79,OPT_0004_03,v2.4_0495.h5
496,71,OPT_0004_04,v2.4_0496.h5
497,72,OPT_0004_04,v2.4_0497.h5
498,74,OPT_0004_04,v2.4_0498.h5
499,75,OPT_0004_04,v2.4_0499.h5
500,85,OPT_0004_03,v2.4_0500.h5
501,84,OPT_0004_04,v2.4_0501.h5
502,84,OPT_0004_03,v2.4_0502.h5
503,80,OPT_0004_04,v2.4_0503.h5
504,78,OPT_0004_04,v2.4_0504.h5
505,77,OPT_0004_04,v2.4_0505.h5
506,82,OPT_0004_04,v2.4_0506.h5
507,79,OPT_0004_04,v2.4_0507.h5
508,81,OPT_0004_04,v2.4_0508.h5
509,72,OPT_0004_05,v2.4_0509.h5
510,83,OPT_0004_04,v2.4_0510.h5
511,71,OPT_0004_05,v2.4_0511.h5
512,73,OPT_0004_05,v2.4_0512.h5
513,76,OPT_0004_05,v2.4_0513.h5
514,75,OPT_0004_05,v2.4_0514.h5
515,74,OPT_0004_05,v2.4_0515.h5
516,85,OPT_0004_04,v2.4_0516.h5
517,81,OPT_0004_05,v2.4_0517.h5
518,75,OPT_0004_06,v2.4_0518.h5
519,84,OPT_0004_05,v2.4_0519.h5
520,85,OPT_0004_05,v2.4_0520.h5
521,77,OPT_0004_05,v2.4_0521.h5
522,78,OPT_0004_05,v2.4_0522.h5
523,83,OPT_0004_05,v2.4_0523.h5
524,82,OPT_0004_05,v2.4_0524.h5
525,71,OPT_0004_06,v2.4_0525.h5
526,72,OPT_0004_06,v2.4_0526.h5
527,79,OPT_0004_05,v2.4_0527.h5
528,73,OPT_0004_06,v2.4_0528.h5
529,74,OPT_0004_06,v2.4_0529.h5
530,76,OPT_0004_06,v2.4_0530.h5
531,80,OPT_0004_05,v2.4_0531.h5
532,77,OPT_0004_06,v2.4_0532.h5
533,82,OPT_0004_06,v2.4_0533.h5
534,73,OPT_0004_07,v2.4_0534.h5
535,78,OPT_0004_06,v2.4_0535.h5
536,74,OPT_0004_07,v2.4_0536.h5
537,75,OPT_0004_07,v2.4_0537.h5
538,83,OPT_0004_06,v2.4_0538.h5
539,79,OPT_0004_06,v2.4_0539.h5
540,80,OPT_0004_06,v2.4_0540.h5
541,84,OPT_0004_06,v2.4_0541.h5
542,76,OPT_0004_07,v2.4_0542.h5
543,81,OPT_0004_06,v2.4_0543.h5
544,77,OPT_0004_07,v2.4_0544.h5
545,72,OPT_0004_07,v2.4_0545.h5
546,79,OPT_0004_07,v2.4_0546.h5
547,71,OPT_0004_07,v2.4_0547.h5
548,85,OPT_0004_06,v2.4_0548.h5
549,80,OPT_0004_07,v2.4_0549.h5
550,78,OPT_0004_07,v2.4_0550.h5
551,76,OPT_0004_08,v2.4_0551.h5
552,75,OPT_0004_08,v2.4_0552.h5
553,74,OPT_0004_08,v2.4_0553.h5
554,73,OPT_0004_08,v2.4_0554.h5
555,78,OPT_0004_08,v2.4_0555.h5
556,77,OPT_0004_08,v2.4_0556.h5
557,79,OPT_0004_08,v2.4_0557.h5
558,71,OPT_0004_08,v2.4_0558.h5
559,82,OPT_0004_07,v2.4_0559.h5
560,72,OPT_0004_08,v2.4_0560.h5
561,79,OPT_0004_09,v2.4_0561.h5
562,71,OPT_0004_10,v2.4_0562.h5
563,83,OPT_0004_09,v2.4_0563.h5
564,84,OPT_0004_07,v2.4_0564.h5
565,85,OPT_0004_09,v2.4_0565.h5
566,85,OPT_0004_07,v2.4_0566.h5
567,81,OPT_0004_07,v2.4_0567.h5
568,72,OPT_0004_10,v2.4_0568.h5
569,84,OPT_0004_09,v2.4_0569.h5
570,82,OPT_0004_09,v2.4_0570.h5
571,76,OPT_0004_10,v2.4_0571.h5
572,73,OPT_0004_10,v2.4_0572.h5
573,83,OPT_0004_07,v2.4_0573.h5
574,75,OPT_0004_10,v2.4_0574.h5
575,81,OPT_0004_09,v2.4_0575.h5
576,80,OPT_0004_09,v2.4_0576.h5
577,74,OPT_0004_10,v2.4_0577.h5
578,77,OPT_0004_10,v2.4_0578.h5
579,78,OPT_0004_09,v2.4_0579.h5
580,76,OPT_0004_09,v2.4_0580.h5
581,75,OPT_0004_09,v2.4_0581.h5
582,74,OPT_0004_09,v2.4_0582.h5
