run_id,geology_config_id,geology_name,snapshot_id,case_name,pred_total_energy,actual_total_energy,abs_err_total_energy,pred_discounted_revenue,actual_discounted_revenue,abs_err_discounted_revenue
524,74,v2.5_0111,run0524_iter0050,v2.5_cmaes_20260420_74_run0524,188040211333120.0,214187938676736.0,26147727343616.0,408870912.0,486789216.0,77918304.0
524,76,v2.5_1203,run0524_iter0050,v2.5_cmaes_20260420_76_run0524,188977185292288.0,211618961031168.0,22641775738880.0,415603936.0,477527904.0,61923968.0
524,73,v2.5_1428,run0524_iter0050,v2.5_cmaes_20260420_73_run0524,187953255022592.0,209672267104256.0,21719012081664.0,410491424.0,473430336.0,62938912.0
539,74,v2.5_0111,run0539_iter0050,v2.5_cmaes_20260420_74_run0539,186170675822592.0,176462875328512.0,9707800494080.0,405588352.0,396096672.0,9491680.0
539,76,v2.5_1203,run0539_iter0050,v2.5_cmaes_20260420_76_run0539,185483229396992.0,176065104314368.0,9418125082624.0,404573792.0,391115488.0,13458304.0
539,73,v2.5_1428,run0539_iter0050,v2.5_cmaes_20260420_73_run0539,187183667347456.0,174865483038720.0,12318184308736.0,407603520.0,388038528.0,19564992.0
554,74,v2.5_0111,run0554_iter0050,v2.5_cmaes_20260420_74_run0554,189517042548736.0,200043671846912.0,10526629298176.0,416617152.0,442903488.0,26286336.0
554,76,v2.5_1203,run0554_iter0050,v2.5_cmaes_20260420_76_run0554,189389955137536.0,192199618723840.0,2809663586304.0,421273664.0,416144736.0,5128928.0
554,73,v2.5_1428,run0554_iter0050,v2.5_cmaes_20260420_73_run0554,189092478320640.0,192672065126400.0,3579586805760.0,416880864.0,421146784.0,4265920.0
569,74,v2.5_0111,run0569_iter0050,v2.5_cmaes_20260420_74_run0569,183581565517824.0,191036034908160.0,7454469390336.0,401034016.0,429861824.0,28827808.0
569,76,v2.5_1203,run0569_iter0050,v2.5_cmaes_20260420_76_run0569,184252704489472.0,200437684764672.0,16184980275200.0,405824064.0,442597472.0,36773408.0
569,73,v2.5_1428,run0569_iter0050,v2.5_cmaes_20260420_73_run0569,183393006387200.0,201427607617536.0,18034601230336.0,402217792.0,446701152.0,44483360.0
584,74,v2.5_0111,run0584_iter0050,v2.5_cmaes_20260420_74_run0584,188785589485568.0,191049842556928.0,2264253071360.0,413883808.0,409522176.0,4361632.0
584,76,v2.5_1203,run0584_iter0050,v2.5_cmaes_20260420_76_run0584,189483890769920.0,190052940382208.0,569049612288.0,422250208.0,401108640.0,21141568.0
584,73,v2.5_1428,run0584_iter0050,v2.5_cmaes_20260420_73_run0584,188480747470848.0,190611185467392.0,2130437996544.0,414554880.0,408363712.0,6191168.0
599,74,v2.5_0111,run0599_iter0050,v2.5_cmaes_20260420_74_run0599,182821977063424.0,188926283218944.0,6104306155520.0,396861216.0,396390240.0,470976.0
599,76,v2.5_1203,run0599_iter0050,v2.5_cmaes_20260420_76_run0599,187096090279936.0,193128824832000.0,6032734552064.0,405825408.0,407129888.0,1304480.0
599,73,v2.5_1428,run0599_iter0050,v2.5_cmaes_20260420_73_run0599,184319041601536.0,189863039074304.0,5543997472768.0,397198976.0,396951936.0,247040.0
614,74,v2.5_0111,run0614_iter0050,v2.5_cmaes_20260420_74_run0614,188480109936640.0,176123052818432.0,12357057118208.0,415017024.0,389180864.0,25836160.0
614,76,v2.5_1203,run0614_iter0050,v2.5_cmaes_20260420_76_run0614,190406906085376.0,195703825498112.0,5296919412736.0,421243392.0,419832320.0,1411072.0
614,73,v2.5_1428,run0614_iter0050,v2.5_cmaes_20260420_73_run0614,189046928179200.0,188439978835968.0,606949343232.0,416508032.0,413064288.0,3443744.0
629,74,v2.5_0111,run0629_iter0050,v2.5_cmaes_20260420_74_run0629,187981876953088.0,201415075037184.0,13433198084096.0,412757824.0,449149568.0,36391744.0
629,76,v2.5_1203,run0629_iter0050,v2.5_cmaes_20260420_76_run0629,190758321651712.0,199667895762944.0,8909574111232.0,420900192.0,447575488.0,26675296.0
629,73,v2.5_1428,run0629_iter0050,v2.5_cmaes_20260420_73_run0629,187776607715328.0,192299980029952.0,4523372314624.0,412886336.0,432142944.0,19256608.0
644,74,v2.5_0111,run0644_iter0050,v2.5_cmaes_20260420_74_run0644,186090732388352.0,169520933109760.0,16569799278592.0,405611328.0,333772768.0,71838560.0
644,76,v2.5_1203,run0644_iter0050,v2.5_cmaes_20260420_76_run0644,187663495725056.0,176541174595584.0,11122321129472.0,412547264.0,346612864.0,65934400.0
644,73,v2.5_1428,run0644_iter0050,v2.5_cmaes_20260420_73_run0644,185781226307584.0,175081556803584.0,10699669504000.0,406892192.0,337031904.0,69860288.0
659,74,v2.5_0111,run0659_iter0050,v2.5_cmaes_20260420_74_run0659,184432371695616.0,176874638540800.0,7557733154816.0,402516288.0,402351136.0,165152.0
659,76,v2.5_1203,run0659_iter0050,v2.5_cmaes_20260420_76_run0659,188669155606528.0,197254191251456.0,8585035644928.0,419202400.0,433719840.0,14517440.0
659,73,v2.5_1428,run0659_iter0050,v2.5_cmaes_20260420_73_run0659,188234759929856.0,178953050390528.0,9281709539328.0,412410624.0,401473024.0,10937600.0
674,74,v2.5_0111,run0674_iter0050,v2.5_cmaes_20260420_74_run0674,187896699027456.0,189041005821952.0,1144306794496.0,411228192.0,429127808.0,17899616.0
674,76,v2.5_1203,run0674_iter0050,v2.5_cmaes_20260420_76_run0674,189630909513728.0,182555739422720.0,7075170091008.0,419018016.0,404035040.0,14982976.0
674,73,v2.5_1428,run0674_iter0050,v2.5_cmaes_20260420_73_run0674,187545937772544.0,188034909732864.0,488971960320.0,408745312.0,422028736.0,13283424.0
689,74,v2.5_0111,run0689_iter0050,v2.5_cmaes_20260420_74_run0689,186196126859264.0,193327567732736.0,7131440873472.0,402426976.0,418632704.0,16205728.0
689,76,v2.5_1203,run0689_iter0050,v2.5_cmaes_20260420_76_run0689,189863072628736.0,194687512084480.0,4824439455744.0,414815264.0,418361504.0,3546240.0
689,73,v2.5_1428,run0689_iter0050,v2.5_cmaes_20260420_73_run0689,185867528306688.0,193938342281216.0,8070813974528.0,400261376.0,416310432.0,16049056.0
704,74,v2.5_0111,run0704_iter0050,v2.5_cmaes_20260420_74_run0704,187855427076096.0,191821376389120.0,3965949313024.0,408930784.0,417348544.0,8417760.0
704,76,v2.5_1203,run0704_iter0050,v2.5_cmaes_20260420_76_run0704,188541212557312.0,192982024192000.0,4440811634688.0,414213184.0,418161824.0,3948640.0
704,73,v2.5_1428,run0704_iter0050,v2.5_cmaes_20260420_73_run0704,187782999834624.0,193347935272960.0,5564935438336.0,410939456.0,424690624.0,13751168.0
719,74,v2.5_0111,run0719_iter0050,v2.5_cmaes_20260420_74_run0719,188093109895168.0,188664374099968.0,571264204800.0,408470272.0,418840320.0,10370048.0
719,76,v2.5_1203,run0719_iter0050,v2.5_cmaes_20260420_76_run0719,190488896339968.0,195655540670464.0,5166644330496.0,417599424.0,422521568.0,4922144.0
719,73,v2.5_1428,run0719_iter0050,v2.5_cmaes_20260420_73_run0719,187392761790464.0,181448577384448.0,5944184406016.0,409924192.0,399258784.0,10665408.0
734,76,v2.5_1203,run0734_iter0050,v2.5_cmaes_20260420_76_run0734,189407218892800.0,198170344685568.0,8763125792768.0,421616096.0,435107712.0,13491616.0
734,73,v2.5_1428,run0734_iter0050,v2.5_cmaes_20260420_73_run0734,189537594638336.0,198254247542784.0,8716652904448.0,412472320.0,432721952.0,20249632.0
749,74,v2.5_0111,run0749_iter0050,v2.5_cmaes_20260420_74_run0749,186171028144128.0,171474337923072.0,14696690221056.0,403234048.0,348014368.0,55219680.0
749,76,v2.5_1203,run0749_iter0050,v2.5_cmaes_20260420_76_run0749,184072215199744.0,179451535032320.0,4620680167424.0,390804800.0,363650112.0,27154688.0
749,73,v2.5_1428,run0749_iter0050,v2.5_cmaes_20260420_73_run0749,187295470714880.0,170526307778560.0,16769162936320.0,407676800.0,328976512.0,78700288.0
764,74,v2.5_0111,run0764_iter0050,v2.5_cmaes_20260420_74_run0764,189698890792960.0,193487085502464.0,3788194709504.0,415592576.0,423511680.0,7919104.0
764,76,v2.5_1203,run0764_iter0050,v2.5_cmaes_20260420_76_run0764,190903159357440.0,194096165552128.0,3193006194688.0,421756288.0,423592032.0,1835744.0
764,73,v2.5_1428,run0764_iter0050,v2.5_cmaes_20260420_73_run0764,188520492695552.0,190276949770240.0,1756457074688.0,414684960.0,411151200.0,3533760.0
779,74,v2.5_0111,run0779_iter0050,v2.5_cmaes_20260420_74_run0779,188261519589376.0,205507843325952.0,17246323736576.0,409344000.0,467250432.0,57906432.0
779,76,v2.5_1203,run0779_iter0050,v2.5_cmaes_20260420_76_run0779,192133466161152.0,204368703913984.0,12235237752832.0,421503968.0,458600864.0,37096896.0
