case_id,actual,pred_withheld_model,pred_baseline_model,err_pct_withheld,err_pct_baseline
v2.5_0317,181924463116288.0,174331598471168.0,178922079649792.0,4.17363586790775,1.6503462014214358
v2.5_0318,185730743664640.0,175676879536128.0,185714385879040.0,5.413139435152161,0.008807257903159005
v2.5_0319,182254521286656.0,170919867711488.0,182578405441536.0,6.219134370521584,0.1777098052731346
v2.5_0323,180545929609216.0,175278655537152.0,182894035206144.0,2.917415022019489,1.300558590276931
v2.5_0325,184390428655616.0,174594447114240.0,183994503135232.0,5.312630168929131,0.2147212972336356
v2.5_0356,182378437804032.0,171700276690944.0,181657906708480.0,5.8549471317227875,0.3950747161932706
v2.5_0358,183930078625792.0,178596635213824.0,184014904229888.0,2.8997124623748767,0.046118397126648725
v2.5_0359,180711201964032.0,175378228314112.0,180440535138304.0,2.951102970905729,0.14977866495618372
v2.5_0360,179839843696640.0,177531131002880.0,179553876049920.0,1.2837603983099628,0.15901239727631214
v2.5_0361,181399252369408.0,173028193337344.0,180675147726848.0,4.614715288361207,0.3991773026083962
v2.5_0366,181902669512704.0,179837696212992.0,182250293428224.0,1.135207803845772,0.1911043507229684
v2.5_0374,181228326092800.0,176716681052160.0,181619235225600.0,2.4894811632977074,0.21569979772358025
v2.5_0378,182281314500608.0,179001737871360.0,183196058648576.0,1.799184210533582,0.5018310025216265
v2.5_0391,180104302952448.0,178933186166784.0,180024158191616.0,0.6502436457463229,0.04449908165334628
v2.5_0436,181564658941952.0,178139086979072.0,181942465069056.0,1.886695341947129,0.2080835165310383
v2.5_0473,181416885223424.0,178555715584000.0,182243716759552.0,1.5771242218718098,0.4557632742452366
v2.5_0477,182167011328000.0,172931086811136.0,182399409324032.0,5.07003131331737,0.12757413888377234
v2.5_0488,182158203289600.0,176001418002432.0,178636850200576.0,3.3799110750888213,1.933129019408288
v2.5_0489,182297840058368.0,177126229671936.0,182908295839744.0,2.8369016247126995,0.33486725963431313
v2.5_0551,185835248943104.0,176288274841600.0,185065644490752.0,5.1373322100087355,0.414132656064418
v2.5_0552,184593214865408.0,172246123413504.0,184882152079360.0,6.688811103326092,0.15652645421592126
v2.5_0554,183935514443776.0,177782655025152.0,177259558207488.0,3.3451176828087537,3.629509100771649
v2.5_0558,184377191432192.0,176091108999168.0,185545103769600.0,4.494092988758512,0.633436450754008
v2.5_0560,184467738066944.0,173109881602048.0,179905945927680.0,6.157096402826923,2.4729484879402106
v2.5_0563,181671747911680.0,177702711590912.0,183659327913984.0,2.1847295280593397,1.0940501344602382
v2.5_0575,183786952196096.0,180048132833280.0,183776047005696.0,2.0343225229758284,0.005933604246488858
v2.5_0576,183576230363136.0,179291698495488.0,184313521897472.0,2.333925181475117,0.40162690609647456
v2.5_0579,182678347317248.0,178619318009856.0,182690594684928.0,2.2219542529268095,0.006704334618667549
v2.5_0580,179971662282752.0,175976772272128.0,181237134131200.0,2.2197327956818342,0.7031506140449088
v2.5_0582,182775218962432.0,178342728826880.0,181862488080384.0,2.425104541367319,0.4993734310533665
v2.5_0583,179806859689984.0,177319134101504.0,179833183141888.0,1.3835543275541544,0.014639848529353036
v2.5_0585,179956948664320.0,177377871134720.0,180253855055872.0,1.4331636253795588,0.16498745603084763
v2.5_0586,186862148780032.0,179969665794048.0,186063435857920.0,3.6885388672788975,0.4274343024130685
v2.5_0589,185974399172608.0,175516137029632.0,185766948896768.0,5.623495593750728,0.11154775967172753
v2.5_0591,185351511474176.0,177538630418432.0,186178795995136.0,4.215169864871874,0.4463327622096359
v2.5_0695,182436688297984.0,174659643375616.0,182112602816512.0,4.262873326041372,0.17764271238176232
v2.5_0734,180301603012608.0,175577373868032.0,179827730546688.0,2.6201814435591277,0.26282210363202557
v2.5_0759,180232598323200.0,177640988213248.0,178671847473152.0,1.437925288800767,0.8659647946977949
v2.5_0763,181116908601344.0,176679586627584.0,180602821148672.0,2.449976652112023,0.28384288172870525
v2.5_0840,181743453732864.0,179194407419904.0,178752512327680.0,1.4025519272384475,1.6456941605061832
v2.5_0856,184061611999232.0,164383699238912.0,186407284899840.0,10.690937967229205,1.2743955000338623
v2.5_0857,185804731187200.0,173382561693696.0,181655205576704.0,6.685604512938127,2.233272309043258
v2.5_0858,180869008457728.0,176569427427328.0,180349602627584.0,2.3771795218332725,0.28717237661276473
v2.5_0860,182126393688064.0,175276810043392.0,185134884061184.0,3.76089566480056,1.6518695133626682
v2.5_0861,184825294094336.0,179331947036672.0,184998401409024.0,2.9721835880646084,0.0936599698305606
v2.5_0863,181351823179776.0,172758667362304.0,182718310645760.0,4.738389538523422,0.7535008151693001
v2.5_0865,182393738625024.0,175537611866112.0,182345302802432.0,3.7589704617038624,0.02655563889261422
v2.5_0866,188529871159296.0,176046682931200.0,190001065230336.0,6.621331755723996,0.7803506478805857
v2.5_0868,180304153149440.0,177595370962944.0,178344960196608.0,1.502340428204614,1.0866044506518817
v2.5_0870,187484466053120.0,175003911847936.0,177210266746880.0,6.656847080679144,5.480026971049969
v2.5_0910,181773770162176.0,176644220256256.0,181604672602112.0,2.821941747339832,0.09302638104118847
v2.5_0981,182164276641792.0,177760827867136.0,182922489364480.0,2.4172954521236596,0.4162247047915713
v2.5_0982,180766533222400.0,175656310669312.0,182616439390208.0,2.826973810910458,1.0233676194542218
v2.5_0983,179867039563776.0,170694935576576.0,178663525974016.0,5.099380080666652,0.6691129140051625
v2.5_0984,183047261519872.0,177922627338240.0,182924703956992.0,2.799623517490131,0.066954054304
v2.5_0985,180363510939648.0,179279249801216.0,180902462226432.0,0.6011532669680665,0.2988139252647062
v2.5_0988,186179114762240.0,178281827532800.0,186590626316288.0,4.241768599837436,0.22102992302521193
v2.5_0992,183126332538880.0,175424248217600.0,182388722237440.0,4.205885748104933,0.40278767734476206
v2.5_0995,182068646510592.0,175118500233216.0,181941374550016.0,3.8173218786309095,0.0699032826437779
v2.5_0996,179891702071296.0,176689250304000.0,180148645134336.0,1.7802109438192877,0.14283208179228102
v2.5_1012,182906668449792.0,175683741417472.0,183882364223488.0,3.948968669943654,0.5334391479356201
v2.5_1033,180434713444352.0,175525431607296.0,180786330337280.0,2.720807844201263,0.19487208764650624
v2.5_1035,181061090803712.0,176260860870656.0,180662363488256.0,2.651165919606615,0.22021700724660914
v2.5_1039,182289199792128.0,175554170978304.0,176908998279168.0,3.6946943765753733,2.95146477086699
v2.5_1040,181118083006464.0,172400960339968.0,176337968955392.0,4.812949939507084,2.6392251793551726
v2.5_1124,181074529353728.0,176840866004992.0,181491409616896.0,2.338077787000934,0.23022578860532444
v2.5_1134,181779977732096.0,173938525077504.0,181284361994240.0,4.3137053664670315,0.2726459448611164
v2.5_1160,180024074305536.0,175136569294848.0,179653532712960.0,2.7149174517586743,0.20582891149720262
v2.5_1201,189685519351808.0,176528054812672.0,190435863560192.0,6.936462300389399,0.3955727411075294
v2.5_1203,189070013628416.0,178189200523264.0,183912009564160.0,5.754912107076024,2.7280920783097597
v2.5_1204,188089905446912.0,173818366656512.0,181372039725056.0,7.58761548446209,3.57162480670825
v2.5_1205,182980790190080.0,174744854855680.0,183469678264320.0,4.500983587317844,0.2671799994590384
v2.5_1206,184065906966528.0,175481810845696.0,183765578022912.0,4.663599176132601,0.1631638083149283
v2.5_1207,184476260892672.0,176926010376192.0,184741290573824.0,4.092803312439601,0.1436660087696562
v2.5_1219,180668185182208.0,176479618990080.0,180898737684480.0,2.318375085189313,0.12761101354922147
v2.5_1223,183191881121792.0,179397411733504.0,185812566147072.0,2.0713087092354883,1.4305683249890764
v2.5_1224,179869791027200.0,178136587173888.0,179531142922240.0,0.9635880730243936,0.1882740303560977
v2.5_1230,184654921465856.0,169406361501696.0,184738035793920.0,8.257868159219123,0.045010621652653016
v2.5_1232,179789025509376.0,177524973764608.0,180116315439104.0,1.2592825053439816,0.18204110556844405
v2.5_1233,188539031519232.0,174318847787008.0,188688734617600.0,7.542302311430651,0.07940164811588601
v2.5_1237,182483194740736.0,170858999971840.0,177738363174912.0,6.370008364557152,2.600147138242097
v2.5_1243,180638338514944.0,179117098008576.0,181227151687680.0,0.8421470873095688,0.3259624604481668
v2.5_1245,184259079831552.0,177979166556160.0,183367991558144.0,3.408197458238172,0.4836061670462182
v2.5_1246,182058227859456.0,178761437806592.0,182350151417856.0,1.8108437567617282,0.16034625945351785
v2.5_1318,180569602260992.0,176191436750848.0,183612569812992.0,2.424641498526358,1.6852047708460642
v2.5_1321,183366901039104.0,174316465422336.0,179128657510400.0,4.935697536186176,2.3113459979345845
v2.5_1322,183710548754432.0,175281927094272.0,177191576928256.0,4.587990029590862,3.54850163497687
v2.5_1325,186918067240960.0,173821252337664.0,186709459337216.0,7.0067142768026915,0.11160392723036194
v2.5_1326,180090377863168.0,171769633701888.0,180968145027072.0,4.620315788110607,0.4874036993641738
v2.5_1327,183990812147712.0,174730980098048.0,179703763697664.0,5.0327687244676085,2.3300339837655915
v2.5_1328,184651482136576.0,172036475322368.0,178187002707968.0,6.8317928825924135,3.500908497353192
v2.5_1334,185782266494976.0,175842386771968.0,185571360112640.0,5.350284454236001,0.11352341981558471
v2.5_1338,181572762337280.0,174626256715776.0,182203166228480.0,3.825742105856459,0.34719078075652937
v2.5_1371,180782773567488.0,178761337143296.0,182655513526272.0,1.1181576564524704,1.0359061993729661
v2.5_1374,181799372193792.0,177331079479296.0,181033542615040.0,2.457815261173152,0.42124984784636743
